,count,title,composer,event,specification,grade,average std dev above mean,average uil score,average score above expected
931-4-21789,2,Werfet Panier Auf Im Lande,Telemann,Mixed Chorus,(German) (a cappella),4,0.022701879210192955,1.165,0.15437846836847946
935-4-30437,2,I Am Not Yours,Childs,Treble Chorus,(SSAA) (accomp),4,0.022701879210192955,1.0,0.3193784683684795
931-5-27630,2,Ave Maria,de Victoria,Mixed Chorus,(SATB double chorus) (a cappella) (a cappella),5,-0.32393802807575356,1.665,-0.22586944288126065
933-5-22447,2,Hava Nageela,Anon. or Trad.,Tenor-Bass Chorus,(accomp),5,0.022701879210192955,1.5,-0.1806215316315205
931-4-34501,2,Late in My Rash Accounting,Weelkes,Mixed Chorus,(optional hand drum) (accomp),4,0.1268254551047805,1.335,-0.09415066899360092
931-2-37845,2,Wade in the Water,Traditional,Mixed Chorus,(opt Tenor part) (accomp),2,-0.3797120017278286,1.665,-0.1836819235225955
931-5-21787,2,Psalm 96 (Chantez a Dieu),Sweelinck,Mixed Chorus,(French) (a cappella),5,0.022701879210192955,1.0,0.3193784683684795
935-3-30418,2,Festival Sanctus,Leavitt,Treble Chorus,(SSA) (accomp),3,0.022701879210192955,1.335,-0.015621531631520469
931-5-30352,2,To Him We Sing,Young,Mixed Chorus,(SATB div) (a cappella),5,-0.2898869319959778,1.0,0.4070442571127504
931-5-27648,2,The Rune Of Hospitality,Houkom,Mixed Chorus,(SATB divisi) (guitar) (accomp),5,-0.09933748432514022,1.165,0.1700443189953489
931-4-21523,2,Ave Maria,Stravinsky,Mixed Chorus,(Latin) (a cappella),4,0.1268254551047805,1.33,-0.08915066899360102
935-2-29300,2,Sing a New Song,Scott,Treble Chorus,(SA) (accomp),2,0.022701879210192955,1.335,-0.015621531631520469
933-3-22138,2,Dedication,Anon. or Trad.,Tenor-Bass Chorus,(TB) (accomp),3,-0.2898869319959778,1.0,0.4070442571127504
931-3-21177,2,Climbin' Up the Mountain,Anon. or Trad.,Mixed Chorus,(a cappella),3,-0.5107409157274454,2.335,-0.7560346926354231
931-4-27596,2,Two American Folk-Songs,Anon. or Trad.,Mixed Chorus,"(SATB divisi, bass, tenor, & sop or alto soli) (sing both) (a cappella)",4,-0.3797120017278286,1.0,0.48131807647740454
931-5-34505,2,EZEKIEL,Gibbs,Mixed Chorus,(a cappella),5,0.1268254551047805,1.165,0.07584933100639901
931-1-35281,2,"Come, Ye Sons of Art",Purcell,Mixed Chorus,(3 part mixed) (accomp),1,0.022701879210192955,1.5,-0.1806215316315205
931-3-35318,2,Weep You No More,Wagner,Mixed Chorus,(SATB) (accomp),3,0.022701879210192955,1.0,0.3193784683684795
931-5-30348,2,O Magnum Mysterium,La Rocca,Mixed Chorus,(SATB div) (a cappella),5,-0.2898869319959778,1.0,0.4070442571127504
931-2-35289,2,An Irish Blessing,Mayo,Mixed Chorus,(3 part mixed) (opt flute) (accomp),2,0.07476366715748672,1.83,-0.5498861003125608
931-4-29362,2,"Wohlauf, ihr Gaste",Widmann,Mixed Chorus,(SATB) (a cappella),4,-0.2898869319959778,1.0,0.4070442571127504
931-3-21146,2,Mon Coeur se Recommande a Vous,Anon. or Trad.,Mixed Chorus,(French) (a cappella),3,0.1268254551047805,1.165,0.07584933100639901
931-4-21532,2,After Sunset,Young,Mixed Chorus,(SATB div) (a cappella),4,-0.5321189625304916,1.0,0.618095890410959
931-3-35327,2,Sing Out Your Joy,Johnson,Mixed Chorus,(SATB) (accomp),3,0.022701879210192955,2.665,-1.3456215316315205
935-2-34538,2,A Quiet Sanctus,Wagner,Treble Chorus,(accomp),2,-0.2393486991434377,1.5,-0.05674547983310152
935-5-33312,2,How Can I Keep From Singing,Walker,Treble Chorus,(SS(A)A) (accomp),5,-0.5582336609362759,1.335,0.2756767515923566
931-1-21009,2,"Come, Jesus, Holy Son of God",Handel,Mixed Chorus,(2 part mixed) (accomp),1,0.022701879210192955,1.335,-0.015621531631520469
933-1-27710,2,New River Train,Anon. or Trad.,Tenor-Bass Chorus,(accomp),1,-0.5321189625304916,2.5,-0.881904109589041
931-2-21030,2,Jubilate Deo,Spevacek,Mixed Chorus,(2 part) (accomp),2,0.022701879210192955,1.835,-0.5156215316315205
933-5-27804,2,Think On Me,Anon. or Trad.,Tenor-Bass Chorus,(accomp),5,0.022701879210192955,1.0,0.3193784683684795
931-4-21436,2,"Ach, arme Welt",Brahms,Mixed Chorus,(German) (a cappella),4,-0.5668700753099365,2.665,-1.0781585518102372
